# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
  3905.64 2.7340e-15   3915.42 1 
  3908.38 2.6248e-15   3918.17 1 
  3911.12 2.8010e-15   3920.92 1 
  3913.87 2.6751e-15   3923.67 1 
  3916.61 2.6390e-15   3926.42 1 
  3919.35 2.5555e-15   3929.17 1 
  3922.10 2.5697e-15   3931.92 1 
  3924.84 2.4495e-15   3934.67 1 
  3927.58 2.4687e-15   3937.42 1 
  3930.32 2.7918e-15   3940.17 1 
  3933.07 2.3954e-15   3942.92 1 
  3935.81 2.9497e-15   3945.67 1 
  3938.55 2.5222e-15   3948.42 1 
  3941.30 2.4143e-15   3951.17 1 
  3944.04 2.5036e-15   3953.92 1 
  3946.78 2.6855e-15   3956.67 1 
  3949.53 2.6667e-15   3959.42 1 
  3952.27 2.6294e-15   3962.17 1 
  3955.01 2.2925e-15   3964.92 1 
  3957.76 2.6499e-15   3967.67 1 
  3960.50 3.4969e-15   3970.42 1 
  3963.24 4.5729e-15   3973.17 1 
  3965.99 5.7511e-15   3975.92 1 
  3968.73 5.4474e-15   3978.67 1 
  3971.47 4.6405e-15   3981.42 1 
  3974.21 3.0699e-15   3984.17 1 
  3976.96 2.6909e-15   3986.92 1 
  3979.70 2.5530e-15   3989.67 1 
  3982.44 2.4202e-15   3992.42 1 
  3985.19 2.4315e-15   3995.17 1 
  3987.93 2.7053e-15   3997.92 1 
  3990.67 2.4633e-15   4000.67 1 
  3993.42 2.5346e-15   4003.42 1 
  3996.16 2.5654e-15   4006.17 1 
  3998.90 2.4336e-15   4008.92 1 
  4001.65 2.1243e-15   4011.67 1 
  4004.39 2.3754e-15   4014.42 1 
  4007.13 2.5221e-15   4017.17 1 
  4009.88 2.3135e-15   4019.92 1 
  4012.62 2.3438e-15   4022.67 1 
  4015.36 2.1990e-15   4025.42 1 
  4018.10 2.4606e-15   4028.17 1 
  4020.85 2.7156e-15   4030.92 1 
  4023.59 2.6303e-15   4033.67 1 
  4026.33 2.6155e-15   4036.42 1 
  4029.08 2.5786e-15   4039.17 1 
  4031.82 2.5254e-15   4041.92 1 
  4034.56 2.2040e-15   4044.67 1 
  4037.31 2.4433e-15   4047.42 1 
  4040.05 2.3549e-15   4050.17 1 
  4042.79 2.1192e-15   4052.92 1 
  4045.54 2.1647e-15   4055.67 1 
  4048.28 2.2655e-15   4058.42 1 
  4051.02 2.3533e-15   4061.17 1 
  4053.77 2.3199e-15   4063.92 1 
  4056.51 2.8227e-15   4066.67 1 
  4059.25 2.3360e-15   4069.42 1 
  4061.99 2.4456e-15   4072.17 1 
  4064.74 2.5538e-15   4074.92 1 
  4067.48 2.2210e-15   4077.67 1 
  4070.22 2.3721e-15   4080.42 1 
  4072.97 2.4212e-15   4083.17 1 
  4075.71 2.4397e-15   4085.92 1 
  4078.45 2.3473e-15   4088.67 1 
  4081.20 2.3855e-15   4091.42 1 
  4083.94 2.1966e-15   4094.17 1 
  4086.68 2.4206e-15   4096.92 1 
  4089.43 2.5029e-15   4099.67 1 
  4092.17 2.9560e-15   4102.42 1 
  4094.91 4.2119e-15   4105.17 1 
  4097.66 6.1986e-15   4107.92 1 
  4100.40 6.5514e-15   4110.67 1 
  4103.14 5.2981e-15   4113.42 1 
  4105.88 3.4068e-15   4116.17 1 
  4108.63 2.6864e-15   4118.92 1 
  4111.37 2.4849e-15   4121.67 1 
  4114.11 2.3992e-15   4124.42 1 
  4116.86 2.1331e-15   4127.17 1 
  4119.60 2.2927e-15   4129.92 1 
  4122.34 2.0431e-15   4132.67 1 
  4125.09 2.0289e-15   4135.42 1 
  4127.83 2.1464e-15   4138.17 1 
  4130.57 2.2799e-15   4140.92 1 
  4133.32 2.3716e-15   4143.67 1 
  4136.06 2.3247e-15   4146.42 1 
  4138.80 2.1645e-15   4149.17 1 
  4141.55 2.1736e-15   4151.92 1 
  4144.29 2.3553e-15   4154.67 1 
  4147.03 2.1783e-15   4157.42 1 
  4149.77 2.3428e-15   4160.17 1 
  4152.52 2.2189e-15   4162.92 1 
  4155.26 2.1852e-15   4165.67 1 
  4158.00 2.2802e-15   4168.42 1 
  4160.75 2.0060e-15   4171.17 1 
  4163.49 2.0606e-15   4173.92 1 
  4166.23 2.1416e-15   4176.67 1 
  4168.98 2.3010e-15   4179.42 1 
  4171.72 2.0802e-15   4182.17 1 
  4174.46 1.9942e-15   4184.92 1 
  4177.21 2.0251e-15   4187.67 1 
  4179.95 2.3033e-15   4190.42 1 
  4182.69 2.3639e-15   4193.17 1 
  4185.44 2.5291e-15   4195.92 1 
  4188.18 2.5512e-15   4198.67 1 
  4190.92 2.4650e-15   4201.42 1 
  4193.66 2.2342e-15   4204.17 1 
  4196.41 2.1459e-15   4206.92 1 
