# cat cat_m83_master_may_21_2014.txt | awk '{print $1, $2, $3, $4, $12, $26, $29}' > cat_m83_master_may_21_2014.reduced.txt
 x   y     ra           dec       mv   mass  age 
2994 3709 204.267184 -29.8700825 -7.557 6.66 1777.8
2998 1085 204.2671279 -29.8992348 -5.554 7.96 4789.
3000 4153 204.2671074 -29.8651492 -4.533 7.74 2523.4
3026 3967 204.2667662 -29.8672108 -7.541 7.28 14089.9
3030 3227 204.2667217 -29.8754291 -5.225 8.36 7657.5
3040 3206 204.2665873 -29.8756653 -5.232 8.76 21862.1
3042 3719 204.2665668 -29.8699698 -8.901 7.38 31067.7
3047 3673 204.2664981 -29.8704819 -8.398 6.64 4413.3
3059 3077 204.2663406 -29.8770987 -5.55 8.76 24565.9
3078 3676 204.2661075 -29.8704409 -6.443 7.24 2715.7
3080 4060 204.2660759 -29.8661824 -4.828 8.11 3275.5
3084 1054 204.2660173 -29.8995782 -7.509 8.01 25693.1
3090 3556 204.2659438 -29.8717722 -6.312 7.96 12913.5
3092 3804 204.2659207 -29.8690261 -8.34 7.7 26402.2
3143 4392 204.2652721 -29.8624837 -4.819 8.26 2159.7
3156 3536 204.2650957 -29.8720017 -7.984 7.38 13350.8
3184 3295 204.2647411 -29.8746745 -6.66 8.06 11083.2
3192 2865 204.2646346 -29.8794508 -5.771 6.8 2241.
3204 2996 204.2644925 -29.8779947 -7.843 9.21 339450.7
3221 4193 204.2642758 -29.8647023 -6.536 8.31 13342.1
3251 1055 204.2638879 -29.8995621 -5.727 6.64 424.
3269 1498 204.26365 -29.8946452 -6.62 7.22 4688.2
3364 1512 204.2624359 -29.8944887 -6.623 7.86 7259.1
3370 959 204.2623564 -29.9006343 -7.121 6.72 1564.7
3370 2991 204.2623587 -29.8780596 -7.764 7.53 17239.2
3376 658 204.2622761 -29.9039803 -5.937 8.06 4501.8
3377 4057 204.2622739 -29.8662048 -4.779 7.96 2345.6
3378 3781 204.2622551 -29.8692783 -8.045 7.86 23913.6
3381 1633 204.2622214 -29.8931416 -10.464 7.51 189274.9
3385 2480 204.2621645 -29.8837304 -7.049 7.81 16228.9
3394 3979 204.2620527 -29.8670821 -4.628 8.41 1954.8
3397 1849 204.2620111 -29.890744 -5.607 8.11 14409.2
3399 1356 204.2619889 -29.8962231 -5.706 7.44 3735.2
3401 1734 204.2619644 -29.8920187 -6.062 7.54 9910.9
